cla	ord	fam	gen	sp	code	totvis	totbic	sde	cec18	cec02	cec03	cec25	cec22	cec06	cec16	cec13	cec05	cec15	cec28	cec24	cec11	cec21	cec20	cec01	cec04	cec23	cec14	cec12	cec09	cec17	cec07	cec19	cec08	cec10	cec26	cec27
Aves	Passeriformes	Thraupidae	Thraupis 	ornata	Thr_orna	127	2.99	380	999	1113	742	49	315	99	174	16	121	78	4	30	0	36	0	4	20	24	1	0	4	0	6	1	2	0	0	0
Aves	Psittaciformes	Psittacidae	Brotogeris	tirica	Bro_tiri	32	4.06	130	400	0	0	0	256	16	0	9	0	2	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Aves	Passeriformes	Fringillidae	Euphonia 	chalybea	Eup_chal	8	6.38	51	0	20	20	0	4	0	0	0	0	0	0	14	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Aves	Psittaciformes	Psittacidae	Pyrrhura	frontalis	Pyr_fron	34	1.29	44	120	1	4	0	0	0	1	25	0	1	0	0	18	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Aves	Passeriformes	Coerebidae	Coereba	flaveola	Coe_flav	26	1.65	43	6	0	1	4	0	0	72	36	1	0	0	0	0	1	0	4	0	0	0	8	0	1	0	0	0	0	0	0
Aves	Passeriformes	Thraupidae	Cissopis 	leverianus	Cis_leve	15	1.73	26	0	0	1	0	0	16	0	0	0	0	9	0	0	1	15	0	0	0	0	0	3	0	0	1	0	0	1	0
Aves	Passeriformes	Turdidae	Turdus 	flavipes	Tur_flav	8	3.00	24	0	0	0	0	4	0	0	45	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Aves	Indet	Indet	Indet	Indet	Ind_Inde	19	1.05	20	0	0	0	49	0	0	0	4	0	0	0	0	10	0	20	1	0	0	0	0	0	0	0	2	0	0	0	0
Aves	Piciformes	Picidae	Melanerpes	flavifrons	Mel_flav	26	0.73	19	0	0	0	0	0	156	0	0	16	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0
Aves	Passeriformes	Thraupidae	Thraupis 	cyanoptera	Thr_cyan	13	1.23	16	0	54	4	0	0	0	0	1	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Aves	Psittaciformes	Psittacidae	Forpus 	xanthopterygius	For_xant	19	0.74	14	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0
Aves	Passeriformes	Thraupidae	Chlorophonia	cyanea	Chl_cyan	15	0.87	13	16	0	0	0	0	0	4	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aves	Passeriformes	Icteridae	Cacicus	chrysopterus	Cac_chry	7	1.71	12	0	10	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aves	Passeriformes	Thraupidae	Tachyphonus	coronatus	Tac_coro	4	2.50	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0
Aves	Passeriformes	Thraupidae	Tangara 	seledon	Tan_sele	10	1.00	10	16	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Aves	Passeriformes	Thraupidae	Orthogonys	chloricterus	Ort_chlo	2	4.00	8	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
